wl,n
1.936,2.83994
1.942,2.83942
1.948,2.83890
1.954,2.83838
1.960,2.83785
1.966,2.83732
1.972,2.83679
1.978,2.83626
1.984,2.83572
1.990,2.83519
1.996,2.83465
2.002,2.83411
2.008,2.83357
2.014,2.83303
2.020,2.83249
2.026,2.83195
2.032,2.83141
2.038,2.83087
2.044,2.83032
2.050,2.82978
2.056,2.82924
2.062,2.82870
2.068,2.82815
2.074,2.82761
2.080,2.82707
2.086,2.82653
2.092,2.82599
2.098,2.82545
2.104,2.82491
2.110,2.82437
2.116,2.82384
2.122,2.82330
2.128,2.82277
2.134,2.82224
2.140,2.82171
2.146,2.82118
2.152,2.82065
2.158,2.82012
2.164,2.81960
2.170,2.81908
2.176,2.81856
2.182,2.81804
2.188,2.81753
2.194,2.81701
2.200,2.81650
2.206,2.81600
2.212,2.81549
2.218,2.81499
2.224,2.81449
2.230,2.81399
2.236,2.81350
2.242,2.81301
2.248,2.81252
2.254,2.81203
2.260,2.81155
2.266,2.81107
2.272,2.81060
2.278,2.81012
2.284,2.80966
2.290,2.80919
2.296,2.80873
2.302,2.80827
2.308,2.80782
2.314,2.80737
2.320,2.80692
2.326,2.80648
2.332,2.80604
2.338,2.80560
2.344,2.80517
2.350,2.80475
2.356,2.80433
2.362,2.80391
2.368,2.80349
2.374,2.80308
2.380,2.80268
2.386,2.80228
2.392,2.80188
2.398,2.80149
2.404,2.80111
2.410,2.80072
2.416,2.80035
2.422,2.79997
2.428,2.79961
2.434,2.79925
2.440,2.79889
2.446,2.79854
2.452,2.79819
2.458,2.79785
2.464,2.79751
2.470,2.79718
2.476,2.79686
2.482,2.79654
2.488,2.79622
2.494,2.79592
2.500,2.79561

wl,k
0.210,1.02011
0.211,1.01945
0.212,1.01874
0.213,1.01798
0.214,1.01717
0.215,1.01629
0.216,1.01535
0.217,1.01433
0.218,1.01324
0.219,1.01207
0.220,1.01082
0.221,1.00949
0.222,1.00808
0.223,1.00663
0.224,1.00514
0.225,1.00365
0.226,1.00216
0.227,1.00069
0.228,0.99925
0.229,0.99785
0.230,0.99651
0.231,0.99524
0.232,0.99403
0.233,0.99291
0.234,0.99188
0.235,0.99094
0.236,0.99012
0.237,0.98941
0.238,0.98882
0.239,0.98837
0.240,0.98805
0.241,0.98788
0.242,0.98786
0.243,0.98799
0.244,0.98828
0.245,0.98873
0.246,0.98934
0.247,0.99012
0.248,0.99107
0.249,0.99218
0.250,0.99346
0.251,0.99490
0.252,0.99651
0.253,0.99829
0.254,1.00023
0.255,1.00232
0.256,1.00458
0.257,1.00700
0.258,1.00957
0.259,1.01230
0.260,1.01518
0.261,1.01821
0.262,1.02138
0.263,1.02470
0.264,1.02816
0.265,1.03176
0.266,1.03550
0.267,1.03936
0.268,1.04335
0.269,1.04746
0.270,1.05170
0.271,1.05605
0.272,1.06051
0.273,1.06508
0.274,1.06975
0.275,1.07452
0.276,1.07938
0.277,1.08434
0.278,1.08938
0.279,1.09450
0.280,1.09970
0.281,1.10497
0.282,1.11030
0.283,1.11569
0.284,1.12114
0.285,1.12662
0.286,1.13215
0.287,1.13770
0.288,1.14327
0.289,1.14886
0.290,1.15446
0.291,1.16006
0.292,1.16567
0.293,1.17127
0.294,1.17686
0.295,1.18244
0.296,1.18800
0.297,1.19353
0.298,1.19904
0.299,1.20451
0.300,1.20995
0.301,1.21535
0.302,1.22070
0.303,1.22600
0.304,1.23125
0.305,1.23643
0.306,1.24153
0.307,1.24656
0.308,1.25149
0.309,1.25634
0.310,1.26109
0.311,1.26575
0.312,1.27030
